PERMIT#,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,WORK_DESCRIPTION,CONTACT_1_TYPE,CONTACT_1_NAME,CONTACT_2_TYPE,CONTACT_2_NAME,CONTACT_3_TYPE,CONTACT_3_NAME,full_address,is_city_initiated
100269973,3820,S,INDIANA AVE,WRECK AND REMOVE A 1 STORY COMMERCIAL BUILDING.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,PROPERTY SERVICES,,,3820 S INDIANA AVE,False
100281393,1537,S,KARLOV AVE,WRECK AND REMOVE A 1 1\2 STORY FRAME RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,NATIONAL WRECKING CO,OWNER,FANNIE MAE,,,1537 S KARLOV AVE,False
100282361,420,W,60TH ST,WRECK AND REMOVE A 2 STORY SINGLE FAMILY FRAME HOUSE.,CONTRACTOR-WRECKING,ABUNDANT SERVICES INC,OWNER,MIDWEST BANK & TRUST,,,420 W 60TH ST,False
100079761,4843,S,INDIANA AVE,,CONTRACTOR-WRECKING,TOUREEN EXCAVATING,OWNER,APMW DEVELOPMENT,,,4843 S INDIANA AVE,False
100285762,618,W,60TH ST,"EMERGENCY WRECK AND REMOVE A TWO STORY FRAME SINGLE FAMILY RESIDENCE,(CITY ORDERED).",CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,618 W 60TH ST,True
100079898,7742,W,HIGGINS AVE,,CONTRACTOR-GENERAL CONTRACTOR,G EDWARDS CONTRACTORS,CONTRACTOR-WRECKING,G EDWARDS CONTRACTORS,OWNER,JOANNA OLSZYNSKA,7742 W HIGGINS AVE,False
100294845,4536,S,OAKENWALD AVE,EMERGENCY DEMOLITION: WRECK AND REMOVE A 2 STORY MASONRY RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,NATIONAL WRECKING CO,OWNER,CITY OF CHICAGO,,,4536 S OAKENWALD AVE,True
100320442,1840,S,KILBOURN AVE,WRECK & REMOVE 1 STORY COMMERCIAL GARAGE,CONTRACTOR-WRECKING,ROBINETTE DEMO,OWNER,NASH BROS CONST,,,1840 S KILBOURN AVE,False
100082383,1033,W,BELMONT AVE,,CONTRACTOR-WRECKING,"BANNER EXCAVATION, INC.",OWNER,"CASTLEBAR ENTERPRISES, INC.",,,1033 W BELMONT AVE,False
100082599,2431,W,FOSTER AVE,,CONTRACTOR-WRECKING,APEX EXCAVATING,OWNER,IRWIN WEINBERGER,,,2431 W FOSTER AVE,False
100339475,6133,S,CARPENTER ST,WRECK & REMOVE 1 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,6133 S CARPENTER ST,True
100346929,1124,S,CALIFORNIA AVE,WRECK AND REMOVE A 3 STORY BRICK RESIDENTIAL HOUSE.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,1124 S CALIFORNIA AVE,True
100348420,2615,N,RACINE AVE,WRECK AND REMOVE EXISTING FRAME 1 STORY COACH HOUSE WITH ATTACHED GARAGE.,CONTRACTOR-WRECKING,PRECISION EXCAVATION L L C,OWNER,BENDER ENTERPRISE LTD PRT FRRED BENDER TRUST,,,2615 N RACINE AVE,False
100352342,11927,S,MORGAN ST,WRECK AND REMOVE A 1 STORY BRICK BUILDING.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,11927 S MORGAN ST,True
100352581,4114,W,CARROLL AVE,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE.,CONTRACTOR-WRECKING,RICH W. CONSTRUCTION,OWNER,RICHARD MATHHES,,,4114 W CARROLL AVE,False
100083924,10851,S,TROY ST,,CONTRACTOR-WRECKING,"HARLEM EXCAVATING, LIMITED",OWNER,JAMES MC GRATH,,,10851 S TROY ST,False
100083940,4122,N,MOZART ST,,CONTRACTOR-WRECKING,STAUNTON ENTERPRISES,OWNER,ANDREWS CONSTRUCTION,,,4122 N MOZART ST,False
100083941,5048,N,OAKLEY AVE,,CONTRACTOR-WRECKING,STAUNTON ENTERPRISES,OWNER,ANDREWS CONSTRUCTION,,,5048 N OAKLEY AVE,False
100373492,826,N,MOZART ST,WRECK AND REMOVE 1 STORY BRICK SINGLE FAMILY,CONTRACTOR-WRECKING,IMPACTOR P AND P INC,OWNER,"ECO DEVELOPMENT, INC.",,,826 N MOZART ST,False
100375369,2929,S,ELLIS AVE,"DEMOLITION OF BUILDING #22 AT MICHAEL REESE HOSPITAL PARKING GARAGE, GROUP F.",CONTRACTOR-WRECKING,HENEGHAN WRECK/EXCAV,OWNER,CITY OF CHICAGO,,,2929 S ELLIS AVE,True
100382550,4816,W,ERIE ST,WRECK & REMOVE 2 STORY BRICK RESIDENTIAL BUILDING W/ BSMT,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,4816 W ERIE ST,True
100391059,221,N,PEORIA ST,WRECK & REMOVE 3 STORY BRICK COMMERCIAL BUILDING,CONTRACTOR-WRECKING,MIDWEST WRECKING,OWNER,AMITY PACKING CO INC,,,221 N PEORIA ST,False
100394808,1931,W,63RD ST,WRECK AND REMOVE ONE STORY BRICK COMMERCIAL BUILDING,CONTRACTOR-WRECKING,KLF EXCAVATING,OWNER,SUNG HWAN KIM,,,1931 W 63RD ST,False
100399567,1649,W,HUBBARD ST,WRECK & REMOVE 2 STORY BRICK AND FRAME BUILDING,CONTRACTOR-WRECKING,DEMOX,OWNER,CORNER OFFICE LLC,,,1649 W HUBBARD ST,False
100399680,1223,W,32ND ST,WRECK AND REMOVE A 1 STORY BUILDING AND GARAGE.,CONTRACTOR-WRECKING,DS CONSTRUCTION,OWNER,ANDY SLODYCZKA,,,1223 W 32ND ST,False
100438119,6601,S,WOLCOTT AVE,WRECK & REMOVE 2 STORY FRAME BUILDING,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,6601 S WOLCOTT AVE,True
100446822,1045,N,RIDGEWAY AVE,COURT ORDERED WRECK AND REMOVE 1 STORY BRICK RESIDENCE,CONTRACTOR-WRECKING,KLF EXCAVATING,OWNER,CITY OF CHICAGO,,,1045 N RIDGEWAY AVE,True
100446832,2233,S,KOSTNER AVE,COURT ORDERED WRECK AND REMOVE 2 STORY BRICK RESIDENCE,CONTRACTOR-WRECKING,KLF EXCAVATING,OWNER,CITY OF CHICAGO,,,2233 S KOSTNER AVE,True
100446841,12231,S,UNION AVE,EMERGENCY WRECK AND REMOVE 1 STORY FRAME RESIDENCE,CONTRACTOR-WRECKING,KLF EXCAVATING,OWNER,CITY OF CHICAGO,,,12231 S UNION AVE,True
100895304,2130,S,KEDZIE AVE,,CONTRACTOR-WRECKING,KLF EXCAVATING,OWNER,SAHEEN ALSALAHI,,,2130 S KEDZIE AVE,False
101068681,6551,N,SHERIDAN RD,WRECK AND REMOVE A 3 STORY MASONRY DORM BUILDING,CONTRACTOR-GENERAL CONTRACTOR,HENEGHAN WRECKING & EXCAVATING CO. INC.,OWNER,LOYOLA UNIVERSITY,,,6551 N SHERIDAN RD,False
101073190,12900,S,STONY ISLAND AVE,WRECK AND REMOVE A 2 STORY MASONRY BUILDING DOWN TO SLAB (FRONT),CONTRACTOR-GENERAL CONTRACTOR,HENEGHAN WRECKING & EXCAVATING CO. INC.,OWNER,CALUMET REALTY L.P.,,,12900 S STONY ISLAND AVE,False
101073191,12900,S,STONY ISLAND AVE,WRECK AND REMOVE A 2 STORY MASONRY BUILDING DOWN TO SLAB (REAR),CONTRACTOR-GENERAL CONTRACTOR,HENEGHAN WRECKING & EXCAVATING CO. INC.,OWNER,CALUMET REALTY L.P.,,,12900 S STONY ISLAND AVE,False
101073664,2119,W,SUPERIOR ST,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,VIEWPOINT SERVICES INC DBA BROPHY EXCAVATION,OWNER,MARY GRISAFFI,,,2119 W SUPERIOR ST,False
101067933,5361,N,NORMANDY AVE,WRECK AND REMOVE A 1 STORY MASONRY RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,RUUK INC DBA MAXYM DEMOLITION,OWNER,BLUE SHIELD INNOVATIVES LLC,,,5361 N NORMANDY AVE,False
101069260,2457,W,BELLE PLAINE AVE,WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE AND A DETACHED MASONRY GARAGE,CONTRACTOR-GENERAL CONTRACTOR,RUUK INC DBA MAXYM DEMOLITION,OWNER,EP BELLE PLAINE 2457 LLC,,,2457 W BELLE PLAINE AVE,False
101071952,1441,W,DIVERSEY PKWY,WRECK AND REMOVE A TWO STORY MASONRY RESIDENTIAL BUILDING AND DETACHED GARAGE,CONTRACTOR-GENERAL CONTRACTOR,CARLOS GROUP INC,OWNER,MAGNOLIA ASSETS LLC,,,1441 W DIVERSEY PKWY,False
101073282,1934,N,HALSTED ST,WRECK AND REMOVE A 2 STORY MASONRY MULTI UNIT RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,CARLOS GROUP INC,OWNER,1934 N HALSTED LLC,,,1934 N HALSTED ST,False
101073170,1932,N,DAYTON ST,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,TIR CONAILL CONCRETE INC,OWNER,"STRATUM BUILDERS, INC.",,,1932 N DAYTON ST,False
101072600,1406,W,72ND PL,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,1406 W 72ND PL,False
101069196,1401,E,73RD ST,EMERGENCY WRECK AND REMOVE A 1 STORY MASONRY BUILDING,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,1401 E 73RD ST,False
101073577,10240,S,WALLACE ST,OIA '11240 S WALLACE ST' EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,10240 S WALLACE ST,False
101073716,2717,N,DAYTON ST,WRECK AND REMOVE A 3 STORY FRAME MULTI UNIT RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,BUILDER LUXURY INC,OWNER,2717 DAYTON LLC,,,2717 N DAYTON ST,False
101073256,6409,S,MAY ST,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,6409 S MAY ST,False
101070585,10542,S,AVENUE O,EMERGENCY WRECK AND REMOVE A 1 STORY MASONRY RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,10542 S AVENUE O,False
101072561,433,W,BRIAR PL,WRECK AND REMOVE A STEEL STACK (AT REAR),CONTRACTOR-GENERAL CONTRACTOR,NATIONAL WRECKING COMPANY,OWNER,GRAND BRIAR CONDO ASSOCIATION,,,433 W BRIAR PL,False
101071986,10756,S,GREEN BAY AVE,EMERGENCY WRECK AND REMOVAL OF A ONE STORY FRAME COMMERCIAL BUILDING,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,10756 S GREEN BAY AVE,False
101071838,332,W,119TH ST,EMERGENCY WRECK AND REMOVAL OF A ONE STORY MASONRY COMMERCIAL BUILDING,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,332 W 119TH ST,False
101073370,3114,N,LEAVITT ST,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,BUILDER LUXURY INC,OWNER,AMAZING CITY LLC,,,3114 N LEAVITT ST,False
101072601,1411,E,76TH ST,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,1411 E 76TH ST,False
101072902,6843,S,ASHLAND AVE,EMERGENCY WRECK AND REMOVE A 2 STORY MASONRY MIXED USE BUILDING,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,6843 S ASHLAND AVE,False
101065794,1721,W,21ST ST,WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE (PREVIOUSLY DEMOLISHED WITHOUT A PERMIT),CONTRACTOR-GENERAL CONTRACTOR,ALWAYS PERFECT CHOICE LLC,OWNER,MATT PLECKI,,,1721 W 21ST ST,False
101074195,117,N,LONG AVE,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME/MASONRY RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,117 N LONG AVE,False
101070589,5912,S,EMERALD AVE,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,5912 S EMERALD AVE,False
101070590,346,W,58TH ST,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,346 W 58TH ST,False
101074335,1040,W,112TH PL,EMERGENCY WRECK AND REMOVE A 1 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,1040 W 112TH PL,False
101074338,5227,S,MICHIGAN AVE,EMERGENCY WRECK AND REMOVE A 2 STORY MASONRY MULTI UNIT RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,5227 S MICHIGAN AVE,False
101071987,5953,S,ARTESIAN AVE,EMERGENCY WRECK AND REMOVAL OF A ONE STORY MASONRY RESIDENTIAL BUILDING,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,5953 S ARTESIAN AVE,False
101069081,6336,N,CAMPBELL AVE,"WRECK AND REMOVE A 2 STORY MASONRY BUILDING, PARKING LOT, FOUNDATION AND FOOTINGS",EXPEDITOR,"ON TIME EXPEDITING, LLC",CONTRACTOR-GENERAL CONTRACTOR,BREAK THRU ENTERPRISES INC,OWNER,MOHAMMAD HAQUE,6336 N CAMPBELL AVE,False
101072927,1638,N,ORCHARD ST,WRECK AND REMOVE A 2 STORY MASONRY MULTI UNIT RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,BUILDER LUXURY INC,OWNER,EZBM CORP,,,1638 N ORCHARD ST,False
101030144,1911,W,HURON ST,WRECK AND REMOVE A 2 STORY MASONRY RESIDENCE,EXPEDITOR,AGATA J. BIELUT,CONTRACTOR-GENERAL CONTRACTOR,RECYCLEAN INC,OWNER,MIKE MURRAY,1911 W HURON ST,False
101059257,3935,N,RIDGEWAY AVE,WRECK AND REMOVE A 2 STORY FRAME/MASONRY RESIDENCE AND A DETACHED FRAME GARAGE,EXPEDITOR,AGATA J. BIELUT,CONTRACTOR-GENERAL CONTRACTOR,RECYCLEAN INC,OWNER,CHRIS RASMUSSEN,3935 N RIDGEWAY AVE,False
101074432,3819,N,KEDZIE AVE,WRECK AND REMOVE A 1 STORY MASONRY BUILDING,CONTRACTOR-GENERAL CONTRACTOR,MULROY DEMOLITION AND EXCAVATION LLC,OWNER,3819 N KEDZIE LLC,,,3819 N KEDZIE AVE,False
101073503,5735,S,EMERALD AVE,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,5735 S EMERALD AVE,False
101074771,918,S,KARLOV AVE,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,918 S KARLOV AVE,False
101072118,2541,W,63RD ST,EMERGENCY WRECK AND REMOVE A 2 STORY MASONRY BUILDING,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,2541 W 63RD ST,False
101072608,1820,W,BERWYN AVE,WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,QUALITY EXCAVATION INC,OWNER,DARYL AND STACI CROWN AND PARRISH CROWN,,,1820 W BERWYN AVE,False
101073054,261,W,107TH ST,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,261 W 107TH ST,False
101073501,62,E,95TH ST,EMERGENCY WRECK AND REMOVE A 1 STORY MASONRY RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,62 E 95TH ST,False
101071490,4353,W,FIFTH AVE,WRECK AND REMOVE FOUNDATIONS ONLY (STRUCTURE PREVIOUSLY WRECKED WITH PERMIT),CONTRACTOR-GENERAL CONTRACTOR,HENEGHAN WRECKING & EXCAVATING CO. INC.,OWNER,4300 ROOSEVELT LLC,,,4353 W FIFTH AVE,False
101073344,4027,W,FIFTH AVE,EMERGENCY WRECK AND REMOVE A 2 STORY MASONRY MULTI UNIT RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,4027 W FIFTH AVE,False
101074577,1458,W,115TH ST,EMERGENCY WRECK AND REMOVE A 1 STORY MASONRY BUILDING,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,1458 W 115TH ST,False
101074198,8839,S,MORGAN ST,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,"MCDONAGH DEMOLITION, INC",OWNER,CITY OF CHIGAGO,,,8839 S MORGAN ST,False
101075582,1839,N,FREMONT ST,WRECK AND REMOVE A 2 STORY MASONRY RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,CARLOS GROUP INC,OWNER,KEVIN AND NICOLE WERNER,,,1839 N FREMONT ST,False
101073502,6615,S,ELLIS AVE,EMERGENCY WRECK AND REMOVE A 2 STORY MASONRY MULTI UNIT RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,6615 S ELLIS AVE,False
101068792,1301,W,BARRY AVE,WRECK AND REMOVE A 2 STORY FRAME COACH HOUSE (REAR ONLY),CONTRACTOR-GENERAL CONTRACTOR,BUILDER LUXURY INC,OWNER,1301 BARRY VIEW LLC,,,1301 W BARRY AVE,False
101075675,2018,N,RICHMOND ST,WRECK AND REMOVE A 3 STORY MASONRY BUILDING (SCHOOL),CONTRACTOR-GENERAL CONTRACTOR,TIR CONAILL CONCRETE INC,OWNER,NEW LIFE FOUNDATION,,,2018 N RICHMOND ST,False
101075674,2028,N,RICHMOND ST,WRECK AND REMOVE A 3 STORY MASONRY BUILDING (CHURCH),CONTRACTOR-GENERAL CONTRACTOR,TIR CONAILL CONCRETE INC,OWNER,NEW LIFE FOUNDATION,,,2028 N RICHMOND ST,False
101068789,1301,W,BARRY AVE,WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE (FRONT ONLY),CONTRACTOR-GENERAL CONTRACTOR,BUILDER LUXURY INC,OWNER,1301 BARRY VIEW LLC,,,1301 W BARRY AVE,False
100975201,5630,N,BROADWAY,WRECK AND REMOVE A 1 STORY MASONRY BUILDING,CONTRACTOR-GENERAL CONTRACTOR,CARLOS GROUP INC,OWNER,5630 N BROADWAY LLC,,,5630 N BROADWAY,False
101072906,907,N,WINCHESTER AVE,WRECK AND REMOVE A 2 STORY MASONRY MULTI UNIT RESIDENCE,EXPEDITOR,EXPEDITING SERVICE,CONTRACTOR-GENERAL CONTRACTOR,B&K CONCRETE 1 INC,OWNER,SUSTAINABUILD LLC,907 N WINCHESTER AVE,False
101072984,903,N,WINCHESTER AVE,WRECK AND REMOVE A 1 STORY OVERSIZED MASONRY GARAGE (FRONT),EXPEDITOR,EXPEDITING SERVICE,CONTRACTOR-GENERAL CONTRACTOR,B&K CONCRETE 1 INC,OWNER,"SUSTAINABUILD, LLC",903 N WINCHESTER AVE,False
101072985,903,N,WINCHESTER AVE,WRECK AND REMOVE A 2 STORY MASONRY COACH HOUSE (REAR),EXPEDITOR,EXPEDITING SERVICE,CONTRACTOR-GENERAL CONTRACTOR,B&K CONCRETE 1 INC,OWNER,"SUSTAINABUILD, LLC",903 N WINCHESTER AVE,False
101073916,2724,N,LEHMANN CT,WRECK AND REMOVE A 3 STORY MASONRY MULTI UNIT RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,VIEWPOINT SERVICES INC DBA BROPHY EXCAVATION,OWNER,2701 CLARK LLC,,,2724 N LEHMANN CT,False
101072703,7237,S,CARPENTER ST,EMERGENCY WRECK AND REMOVE A 1 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,7237 S CARPENTER ST,False
101074272,6748,S,GREEN ST,EMERGENCY WRECK AND REMOVE A 1 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,6748 S GREEN ST,False
101074271,11825,S,PRINCETON AVE,EMERGENCY WRECK AND REMOVE A 1 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,ALLIANCE DEMOLITION AND EXCAVATION SERVICES INC,OWNER,CITY OF CHIGAGO,,,11825 S PRINCETON AVE,False
101071462,2714,N,MAGNOLIA AVE,WRECK AND REMOVE A 2 STORY FRAME COACH HOUSE (REAR ONLY),CONTRACTOR-GENERAL CONTRACTOR,CARLOS GROUP INC,OWNER,ADF ELMHURST LLC,,,2714 N MAGNOLIA AVE,False
101073165,4535,N,FRANCISCO AVE,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND A DETACHED FRAME GARAGE,CONTRACTOR-GENERAL CONTRACTOR,RECON EXCAVATING INC,OWNER,DAN AND YISHA HURLEY AND LI,,,4535 N FRANCISCO AVE,False
